year,quarter,geo_type,geo_name,geo_parent,category,stat_type,count,amount
2020,2,CON,india,,Insurance,TOTAL,185348,33732166.0
2020,3,CON,india,,Insurance,TOTAL,354284,89495076.0
2020,4,CON,india,,Insurance,TOTAL,248626,170979933.0
2021,1,CON,india,,Insurance,TOTAL,318119,206307024.0
2021,2,CON,india,,Insurance,TOTAL,363989,295066678.0
2021,3,CON,india,,Insurance,TOTAL,374867,342403352.0
2021,4,CON,india,,Insurance,TOTAL,526327,655431877.0
2022,1,CON,india,,Insurance,TOTAL,617606,887447240.9999999
2022,2,CON,india,,Insurance,TOTAL,630758,857034846.0
2022,3,CON,india,,Insurance,TOTAL,806491,1054717869.0000001
2022,4,CON,india,,Insurance,TOTAL,1035364,1439762739.0
2023,1,CON,india,,Insurance,TOTAL,923173,1408801224.0
2023,2,CON,india,,Insurance,TOTAL,893850,1347399873.0
2023,3,CON,india,,Insurance,TOTAL,1010211,1445234680.0
2023,4,CON,india,,Insurance,TOTAL,1159063,1855299766.0
2024,1,CON,india,,Insurance,TOTAL,1273789,1931955654.0
2020,2,STA,andaman-&-nicobar-islands,india,Insurance,TOTAL,6,1360.0
2020,3,STA,andaman-&-nicobar-islands,india,Insurance,TOTAL,41,15380.0
2020,4,STA,andaman-&-nicobar-islands,india,Insurance,TOTAL,124,157975.0
2021,1,STA,andaman-&-nicobar-islands,india,Insurance,TOTAL,225,244266.0
2021,2,STA,andaman-&-nicobar-islands,india,Insurance,TOTAL,137,181504.0
2021,3,STA,andaman-&-nicobar-islands,india,Insurance,TOTAL,230,305235.0
2021,4,STA,andaman-&-nicobar-islands,india,Insurance,TOTAL,757,1056380.0
2022,1,STA,andaman-&-nicobar-islands,india,Insurance,TOTAL,768,1131287.0
2022,2,STA,andaman-&-nicobar-islands,india,Insurance,TOTAL,501,779740.0
2022,3,STA,andaman-&-nicobar-islands,india,Insurance,TOTAL,643,902466.0
2022,4,STA,andaman-&-nicobar-islands,india,Insurance,TOTAL,901,1441210.0
2023,1,STA,andaman-&-nicobar-islands,india,Insurance,TOTAL,1004,1439198.0
2023,2,STA,andaman-&-nicobar-islands,india,Insurance,TOTAL,768,1233395.0
2023,3,STA,andaman-&-nicobar-islands,india,Insurance,TOTAL,795,1251145.0
2023,4,STA,andaman-&-nicobar-islands,india,Insurance,TOTAL,1145,1757821.0
2024,1,STA,andaman-&-nicobar-islands,india,Insurance,TOTAL,1371,1964556.0
2020,2,STA,andhra-pradesh,india,Insurance,TOTAL,22104,3982391.0
2020,3,STA,andhra-pradesh,india,Insurance,TOTAL,49812,12426481.0
2020,4,STA,andhra-pradesh,india,Insurance,TOTAL,21464,12985632.0
2021,1,STA,andhra-pradesh,india,Insurance,TOTAL,22105,12749874.000000002
2021,2,STA,andhra-pradesh,india,Insurance,TOTAL,33205,22730687.0
2021,3,STA,andhra-pradesh,india,Insurance,TOTAL,23075,19914337.999999996
2021,4,STA,andhra-pradesh,india,Insurance,TOTAL,25423,31610335.0
2022,1,STA,andhra-pradesh,india,Insurance,TOTAL,29954,42648157.0
2022,2,STA,andhra-pradesh,india,Insurance,TOTAL,32185,41708071.99999999
2022,3,STA,andhra-pradesh,india,Insurance,TOTAL,39301,48791931.0
2022,4,STA,andhra-pradesh,india,Insurance,TOTAL,44329,58043239.0
2023,1,STA,andhra-pradesh,india,Insurance,TOTAL,34920,51963355.0
2023,2,STA,andhra-pradesh,india,Insurance,TOTAL,36376,52067477.99999999
2023,3,STA,andhra-pradesh,india,Insurance,TOTAL,43150,57802396.0
2023,4,STA,andhra-pradesh,india,Insurance,TOTAL,41798,62342423.0
2024,1,STA,andhra-pradesh,india,Insurance,TOTAL,46582,63563802.0
2020,2,STA,arunachal-pradesh,india,Insurance,TOTAL,65,14329.0
2020,3,STA,arunachal-pradesh,india,Insurance,TOTAL,135,39687.0
2020,4,STA,arunachal-pradesh,india,Insurance,TOTAL,125,84247.0
2021,1,STA,arunachal-pradesh,india,Insurance,TOTAL,194,131611.0
2021,2,STA,arunachal-pradesh,india,Insurance,TOTAL,204,224928.0
2021,3,STA,arunachal-pradesh,india,Insurance,TOTAL,212,371051.0
2021,4,STA,arunachal-pradesh,india,Insurance,TOTAL,320,598459.0
2022,1,STA,arunachal-pradesh,india,Insurance,TOTAL,355,894107.0
2022,2,STA,arunachal-pradesh,india,Insurance,TOTAL,564,1360231.0
2022,3,STA,arunachal-pradesh,india,Insurance,TOTAL,510,1300304.0
