name,parent
744301,andaman-&-nicobar-islands
744104,andaman-&-nicobar-islands
744101,andaman-&-nicobar-islands
744112,andaman-&-nicobar-islands
744105,andaman-&-nicobar-islands
744206,andaman-&-nicobar-islands
744107,andaman-&-nicobar-islands
744103,andaman-&-nicobar-islands
744302,andaman-&-nicobar-islands
744211,andaman-&-nicobar-islands
744102,andaman-&-nicobar-islands
744106,andaman-&-nicobar-islands
744204,andaman-&-nicobar-islands
744205,andaman-&-nicobar-islands
744202,andaman-&-nicobar-islands
744210,andaman-&-nicobar-islands
744207,andaman-&-nicobar-islands
515001,andhra-pradesh
515004,andhra-pradesh
516360,andhra-pradesh
516001,andhra-pradesh
533005,andhra-pradesh
517002,andhra-pradesh
530016,andhra-pradesh
517501,andhra-pradesh
533103,andhra-pradesh
515671,andhra-pradesh
535003,andhra-pradesh
524004,andhra-pradesh
517507,andhra-pradesh
524002,andhra-pradesh
524003,andhra-pradesh
520010,andhra-pradesh
530026,andhra-pradesh
522004,andhra-pradesh
522001,andhra-pradesh
522003,andhra-pradesh
520012,andhra-pradesh
520011,andhra-pradesh
523002,andhra-pradesh
523001,andhra-pradesh
534002,andhra-pradesh
534006,andhra-pradesh
520001,andhra-pradesh
520007,andhra-pradesh
517326,andhra-pradesh
530046,andhra-pradesh
791113,arunachal-pradesh
791110,arunachal-pradesh
791001,arunachal-pradesh
792056,arunachal-pradesh
792130,arunachal-pradesh
791109,arunachal-pradesh
792120,arunachal-pradesh
790104,arunachal-pradesh
791111,arunachal-pradesh
792103,arunachal-pradesh
791102,arunachal-pradesh
791112,arunachal-pradesh
791123,arunachal-pradesh
790116,arunachal-pradesh
792001,arunachal-pradesh
792110,arunachal-pradesh
790003,arunachal-pradesh
790001,arunachal-pradesh
790105,arunachal-pradesh
791122,arunachal-pradesh
791120,arunachal-pradesh
792129,arunachal-pradesh
790102,arunachal-pradesh
792121,arunachal-pradesh
781022,assam
781038,assam
781032,assam
781006,assam
781018,assam
781001,assam
781005,assam
783380,assam
781019,assam
786171,assam
781007,assam
781028,assam
781020,assam
781011,assam
782002,assam
781012,assam
781021,assam
781025,assam
786003,assam
782462,assam
781317,assam
785001,assam
786001,assam
781017,assam
783370,assam
782003,assam
782435,assam
784001,assam
781316,assam
800001,bihar
800020,bihar
800006,bihar
801503,bihar
851101,bihar
845438,bihar
845401,bihar
800023,bihar
852201,bihar
851116,bihar
842001,bihar
812001,bihar
844101,bihar
854301,bihar
802301,bihar
800007,bihar
823001,bihar
823002,bihar
848101,bihar
800002,bihar
843334,bihar
821115,bihar
851131,bihar
811213,bihar
800026,bihar
842002,bihar
846004,bihar
841301,bihar
801505,bihar
160101,chandigarh
160047,chandigarh
160036,chandigarh
160023,chandigarh
160014,chandigarh
160001,chandigarh
160022,chandigarh
160030,chandigarh
160002,chandigarh
160012,chandigarh
160003,chandigarh
160019,chandigarh
160025,chandigarh
160017,chandigarh
160020,chandigarh
160015,chandigarh
160008,chandigarh
160011,chandigarh
495001,chhattisgarh
492001,chhattisgarh
496005,chhattisgarh
492009,chhattisgarh
492099,chhattisgarh
497001,chhattisgarh
495660,chhattisgarh
492007,chhattisgarh
491001,chhattisgarh
492013,chhattisgarh
490023,chhattisgarh
491441,chhattisgarh
496118,chhattisgarh
494001,chhattisgarh
495450,chhattisgarh
493221,chhattisgarh
490006,chhattisgarh
496440,chhattisgarh
396230,dadra-&-nagar-haveli-&-daman-&-diu
396235,dadra-&-nagar-haveli-&-daman-&-diu
396210,dadra-&-nagar-haveli-&-daman-&-diu
396215,dadra-&-nagar-haveli-&-daman-&-diu
362520,dadra-&-nagar-haveli-&-daman-&-diu
362571,dadra-&-nagar-haveli-&-daman-&-diu
362540,dadra-&-nagar-haveli-&-daman-&-diu
396220,dadra-&-nagar-haveli-&-daman-&-diu
362570,dadra-&-nagar-haveli-&-daman-&-diu
110059,delhi
110092,delhi
110096,delhi
110085,delhi
110019,delhi
110017,delhi
110084,delhi
110044,delhi
110062,delhi
110086,delhi
110043,delhi
110041,delhi
110053,delhi
110094,delhi
110042,delhi
110006,delhi
110037,delhi
403601,goa
403521,goa
403602,goa
403006,goa
403507,goa
403004,goa
403001,goa
403802,goa
403706,goa
403722,goa
403401,goa
403710,goa
403515,goa
403516,goa
403509,goa
403505,goa
403707,goa
403801,goa
403005,goa
403703,goa
403512,goa
403726,goa
360311,gujarat
382481,gujarat
395006,gujarat
380013,gujarat
380015,gujarat
394510,gujarat
382350,gujarat
395010,gujarat
382345,gujarat
395009,gujarat
394210,gujarat
389350,gujarat
396191,gujarat
384265,gujarat
395004,gujarat
370511,gujarat
395012,gujarat
393002,gujarat
393001,gujarat
395003,gujarat
395002,gujarat
394230,gujarat
392130,gujarat
382415,gujarat
385001,gujarat
394221,gujarat
380008,gujarat
382330,gujarat
380001,gujarat
395007,gujarat
380058,gujarat
122001,haryana
122006,haryana
132001,haryana
121004,haryana
122002,haryana
122003,haryana
121003,haryana
121001,haryana
123401,haryana
122017,haryana
121102,haryana
122051,haryana
121002,haryana
121005,haryana
124507,haryana
122004,haryana
131001,haryana
124001,haryana
175141,himachal-pradesh
173205,himachal-pradesh
175001,himachal-pradesh
171216,himachal-pradesh
174101,himachal-pradesh
173213,himachal-pradesh
173025,himachal-pradesh
171219,himachal-pradesh
176047,himachal-pradesh
177040,himachal-pradesh
173212,himachal-pradesh
173220,himachal-pradesh
171001,himachal-pradesh
175140,himachal-pradesh
176061,himachal-pradesh
171202,himachal-pradesh
173030,himachal-pradesh
171010,himachal-pradesh
174103,himachal-pradesh
174303,himachal-pradesh
172001,himachal-pradesh
177001,himachal-pradesh
175131,himachal-pradesh
174001,himachal-pradesh
173001,himachal-pradesh
