name,parent
andaman-&-nicobar-islands,india
andhra-pradesh,india
arunachal-pradesh,india
assam,india
bihar,india
chandigarh,india
chhattisgarh,india
dadra-&-nagar-haveli-&-daman-&-diu,india
delhi,india
goa,india
gujarat,india
haryana,india
himachal-pradesh,india
jammu-&-kashmir,india
jharkhand,india
karnataka,india
kerala,india
ladakh,india
lakshadweep,india
madhya-pradesh,india
maharashtra,india
manipur,india
meghalaya,india
mizoram,india
nagaland,india
odisha,india
puducherry,india
punjab,india
rajasthan,india
sikkim,india
tamil-nadu,india
telangana,india
tripura,india
uttar-pradesh,india
uttarakhand,india
west-bengal,india
