year,quarter,geo_type,geo_name,geo_parent,top_in,stat_type,count,amount
2020,2,STA,maharashtra,india,CON,TOTAL,39836,6879717.0
2020,2,STA,karnataka,india,CON,TOTAL,27358,4794150.0
2020,2,STA,andhra pradesh,india,CON,TOTAL,22104,3982391.0
2020,2,STA,telangana,india,CON,TOTAL,19003,3419453.0
2020,2,STA,delhi,india,CON,TOTAL,11716,1897480.0
2020,2,STA,uttar pradesh,india,CON,TOTAL,9884,1912266.0
2020,2,STA,gujarat,india,CON,TOTAL,7697,1430591.0
2020,2,STA,west bengal,india,CON,TOTAL,7619,1432764.0
2020,2,STA,haryana,india,CON,TOTAL,6321,1179814.0
2020,2,STA,madhya pradesh,india,CON,TOTAL,6283,1198701.0
2020,2,DIS,bengaluru urban,,CON,TOTAL,20040,3301769.0
2020,2,DIS,pune,,CON,TOTAL,8699,1482628.0
2020,2,DIS,thane,,CON,TOTAL,7559,1221018.0
2020,2,DIS,mumbai suburban,,CON,TOTAL,5780,884439.0
2020,2,DIS,hyderabad,,CON,TOTAL,4783,805518.0
2020,2,DIS,rangareddy,,CON,TOTAL,4495,778492.0
2020,2,DIS,medchal malkajgiri,,CON,TOTAL,4150,711890.0
2020,2,DIS,visakhapatnam,,CON,TOTAL,3504,614212.0
2020,2,DIS,aurangabad,,CON,TOTAL,2898,509460.0
2020,2,DIS,anantapur,,CON,TOTAL,2739,485777.0
2020,2,PIN,560068,,CON,TOTAL,1076,168415.0
2020,2,PIN,560037,,CON,TOTAL,1034,155914.0
2020,2,PIN,110059,,CON,TOTAL,895,132104.0
2020,2,PIN,560076,,CON,TOTAL,802,124790.0
2020,2,PIN,500072,,CON,TOTAL,760,122394.0
2020,2,PIN,560078,,CON,TOTAL,742,119673.0
2020,2,PIN,421201,,CON,TOTAL,668,104388.0
2020,2,PIN,560100,,CON,TOTAL,651,103528.0
2020,2,PIN,431003,,CON,TOTAL,651,107122.0
2020,2,PIN,110092,,CON,TOTAL,638,94570.0
2020,3,STA,maharashtra,india,CON,TOTAL,71662,19230156.0
2020,3,STA,karnataka,india,CON,TOTAL,53701,12407394.0
2020,3,STA,andhra pradesh,india,CON,TOTAL,49812,12426481.0
2020,3,STA,telangana,india,CON,TOTAL,34395,8406543.0
2020,3,STA,uttar pradesh,india,CON,TOTAL,18131,4436969.0
2020,3,STA,rajasthan,india,CON,TOTAL,15235,3758527.0
2020,3,STA,madhya pradesh,india,CON,TOTAL,14476,3496126.0
2020,3,STA,west bengal,india,CON,TOTAL,12596,2878482.0
2020,3,STA,gujarat,india,CON,TOTAL,12525,3335812.0
2020,3,STA,odisha,india,CON,TOTAL,10955,2640191.0
2020,3,DIS,bengaluru urban,,CON,TOTAL,32192,6940765.0
2020,3,DIS,pune,,CON,TOTAL,18176,4567561.0
2020,3,DIS,visakhapatnam,,CON,TOTAL,7906,1892376.0
2020,3,DIS,thane,,CON,TOTAL,6951,1718946.0
2020,3,DIS,rangareddy,,CON,TOTAL,6340,1509162.0
2020,3,DIS,hyderabad,,CON,TOTAL,6331,1397580.0
2020,3,DIS,medchal malkajgiri,,CON,TOTAL,5929,1415970.0
2020,3,DIS,nashik,,CON,TOTAL,5564,1418697.0
2020,3,DIS,spsr nellore,,CON,TOTAL,5509,1259159.0
2020,3,DIS,krishna,,CON,TOTAL,4519,1093882.0
2020,3,PIN,560068,,CON,TOTAL,1603,340876.0
2020,3,PIN,560076,,CON,TOTAL,1148,250474.0
2020,3,PIN,560078,,CON,TOTAL,1124,243443.0
2020,3,PIN,500072,,CON,TOTAL,1103,243812.0
2020,3,PIN,410501,,CON,TOTAL,1067,278535.0
2020,3,PIN,345021,,CON,TOTAL,1003,203794.0
2020,3,PIN,535003,,CON,TOTAL,968,195870.0
2020,3,PIN,431003,,CON,TOTAL,926,209817.0
2020,3,PIN,560037,,CON,TOTAL,923,202431.0
2020,3,PIN,560079,,CON,TOTAL,904,183362.0
2020,4,STA,maharashtra,india,CON,TOTAL,44798,27113814.0
2020,4,STA,karnataka,india,CON,TOTAL,31747,26814968.0
2020,4,STA,andhra pradesh,india,CON,TOTAL,21464,12985632.0
2020,4,STA,telangana,india,CON,TOTAL,20961,11339099.0
2020,4,STA,uttar pradesh,india,CON,TOTAL,17470,14180416.999999998
2020,4,STA,rajasthan,india,CON,TOTAL,12509,6471573.0
2020,4,STA,madhya pradesh,india,CON,TOTAL,10653,4897124.0
2020,4,STA,tamil nadu,india,CON,TOTAL,10290,8993575.0
2020,4,STA,west bengal,india,CON,TOTAL,10233,7510455.0
2020,4,STA,gujarat,india,CON,TOTAL,9990,6055037.0
2020,4,DIS,bengaluru urban,,CON,TOTAL,18485,15922383.0
2020,4,DIS,pune,,CON,TOTAL,8211,4862704.0
2020,4,DIS,thane,,CON,TOTAL,5939,4405413.0
2020,4,DIS,mumbai suburban,,CON,TOTAL,4631,3301120.0
2020,4,DIS,hyderabad,,CON,TOTAL,3682,1892565.0
2020,4,DIS,rangareddy,,CON,TOTAL,3486,2124943.0
2020,4,DIS,visakhapatnam,,CON,TOTAL,3464,2203761.0
2020,4,DIS,jaipur,,CON,TOTAL,3318,1641429.0
2020,4,DIS,medchal malkajgiri,,CON,TOTAL,3298,2034226.0
2020,4,DIS,nashik,,CON,TOTAL,2903,1492155.0
2020,4,PIN,560068,,CON,TOTAL,849,653177.0
2020,4,PIN,421302,,CON,TOTAL,609,459248.0
2020,4,PIN,560079,,CON,TOTAL,565,461758.0
2020,4,PIN,500072,,CON,TOTAL,554,307425.0
2020,4,PIN,560078,,CON,TOTAL,536,398681.0
2020,4,PIN,560076,,CON,TOTAL,525,495928.0
2020,4,PIN,560037,,CON,TOTAL,511,384244.0
2020,4,PIN,201301,,CON,TOTAL,496,320628.0
2020,4,PIN,560043,,CON,TOTAL,495,437875.0
2020,4,PIN,421201,,CON,TOTAL,465,347630.0
2021,1,STA,maharashtra,india,CON,TOTAL,55792,33137753.0
2021,1,STA,karnataka,india,CON,TOTAL,37595,30183325.0
2021,1,STA,telangana,india,CON,TOTAL,28298,14810946.999999998
2021,1,STA,uttar pradesh,india,CON,TOTAL,24103,18027573.0
2021,1,STA,andhra pradesh,india,CON,TOTAL,22105,12749874.000000002
