year,quarter,geo_type,geo_name,geo_parent,top_in,stat_type,count,amount
2018,1,STA,maharashtra,india,CON,TOTAL,16387034,21711613257.72567
2018,1,STA,uttar pradesh,india,CON,TOTAL,12537805,13939970923.223099
2018,1,STA,karnataka,india,CON,TOTAL,12016899,19217895314.012802
2018,1,STA,west bengal,india,CON,TOTAL,11710225,10625978552.14045
2018,1,STA,andhra pradesh,india,CON,TOTAL,9039585,11996276391.8237
2018,1,STA,telangana,india,CON,TOTAL,8522766,13308204118.54243
2018,1,STA,madhya pradesh,india,CON,TOTAL,8025395,8681603403.446348
2018,1,STA,rajasthan,india,CON,TOTAL,7591690,8926293130.726841
2018,1,STA,delhi,india,CON,TOTAL,7122754,11211503806.91996
2018,1,STA,tamil nadu,india,CON,TOTAL,6726622,11261557697.516891
2018,1,DIS,bengaluru urban,india,CON,TOTAL,8306513,14162750303.064842
2018,1,DIS,pune,india,CON,TOTAL,3842929,5378982326.835919
2018,1,DIS,central delhi,india,CON,TOTAL,2997714,4312145216.274474
2018,1,DIS,mumbai,india,CON,TOTAL,2671029,3923116793.952079
2018,1,DIS,chennai,india,CON,TOTAL,2656230,4281137762.522443
2018,1,DIS,hyderabad,india,CON,TOTAL,2545507,4287223789.76588
2018,1,DIS,jaipur,india,CON,TOTAL,2417174,2953086960.141372
2018,1,DIS,birbhum,india,CON,TOTAL,2125816,2520486412.4523764
2018,1,DIS,kolkata,india,CON,TOTAL,2043129,2753347660.1429114
2018,1,DIS,bhopal,india,CON,TOTAL,1704495,1905473874.832671
2018,1,PIN,560001,india,CON,TOTAL,2917356,4684262246.184547
2018,1,PIN,110006,india,CON,TOTAL,2636324,3714139312.238586
2018,1,PIN,400008,india,CON,TOTAL,2227885,3105208723.4751687
2018,1,PIN,600003,india,CON,TOTAL,2010196,2997847000.265506
2018,1,PIN,731101,india,CON,TOTAL,1764956,2366771285.7278423
2018,1,PIN,700009,india,CON,TOTAL,1390629,1851145374.400117
2018,1,PIN,411001,india,CON,TOTAL,1055656,1413523605.595661
2018,1,PIN,500012,india,CON,TOTAL,933013,1643061976.4262938
2018,1,PIN,462001,india,CON,TOTAL,832846,898730606.684653
2018,1,PIN,201301,india,CON,TOTAL,690196,987613438.9540119
2018,2,STA,maharashtra,india,CON,TOTAL,22285740,36357057241.122536
2018,2,STA,west bengal,india,CON,TOTAL,18082446,18629183470.20428
2018,2,STA,uttar pradesh,india,CON,TOTAL,17710943,25720201695.70143
2018,2,STA,karnataka,india,CON,TOTAL,17116447,33515580081.297092
2018,2,STA,andhra pradesh,india,CON,TOTAL,12353918,22883914272.63361
2018,2,STA,telangana,india,CON,TOTAL,10764670,23017201517.65273
2018,2,STA,madhya pradesh,india,CON,TOTAL,10561412,15924081066.680983
2018,2,STA,tamil nadu,india,CON,TOTAL,9992128,20125844276.26766
2018,2,STA,rajasthan,india,CON,TOTAL,9973697,15559086175.75962
2018,2,STA,delhi,india,CON,TOTAL,9373723,17446299902.20514
2018,2,DIS,bengaluru urban,india,CON,TOTAL,11916035,23824727965.49048
2018,2,DIS,pune,india,CON,TOTAL,5162876,8513428062.925206
2018,2,DIS,chennai,india,CON,TOTAL,3719593,7305357440.752292
2018,2,DIS,central delhi,india,CON,TOTAL,3589206,6223466821.0926285
2018,2,DIS,mumbai,india,CON,TOTAL,3277612,6048515205.760132
2018,2,DIS,jaipur,india,CON,TOTAL,3175255,4952882923.415596
2018,2,DIS,hyderabad,india,CON,TOTAL,3156805,6628159910.681627
2018,2,DIS,birbhum,india,CON,TOTAL,2775489,3988930679.767912
2018,2,DIS,kolkata,india,CON,TOTAL,2501448,4109821729.890053
2018,2,DIS,north twenty four parganas,india,CON,TOTAL,2119664,2509379355.091834
2018,2,PIN,560001,india,CON,TOTAL,3777086,7545089760.607167
2018,2,PIN,110006,india,CON,TOTAL,3069733,5237594871.124264
2018,2,PIN,600003,india,CON,TOTAL,2771900,5194488793.022476
2018,2,PIN,400008,india,CON,TOTAL,2631405,4703762207.003538
2018,2,PIN,731101,india,CON,TOTAL,2134258,3697928407.6030483
2018,2,PIN,700009,india,CON,TOTAL,1473202,2566583723.7256727
2018,2,PIN,411001,india,CON,TOTAL,1316115,2145613783.5507011
2018,2,PIN,500012,india,CON,TOTAL,1024336,2257038218.19297
2018,2,PIN,201301,india,CON,TOTAL,971854,1673280979.383171
2018,2,PIN,462001,india,CON,TOTAL,928983,1443626493.195971
2018,3,STA,west bengal,india,CON,TOTAL,53705416,41843934183.17763
2018,3,STA,maharashtra,india,CON,TOTAL,31538538,52260817733.24835
2018,3,STA,odisha,india,CON,TOTAL,30052155,23094515775.585762
2018,3,STA,uttar pradesh,india,CON,TOTAL,26515356,37012114369.239365
2018,3,STA,karnataka,india,CON,TOTAL,25980261,48225091755.807724
2018,3,STA,andhra pradesh,india,CON,TOTAL,25626061,35718044599.21416
2018,3,STA,telangana,india,CON,TOTAL,19332703,32030093209.72354
2018,3,STA,delhi,india,CON,TOTAL,18547048,27375846860.618507
2018,3,STA,madhya pradesh,india,CON,TOTAL,17126985,24149742204.67322
2018,3,STA,tamil nadu,india,CON,TOTAL,15774078,29330092241.184048
2018,3,DIS,bengaluru urban,india,CON,TOTAL,18405424,33812835282.27632
2018,3,DIS,central delhi,india,CON,TOTAL,8165361,10515884583.42652
2018,3,DIS,pune,india,CON,TOTAL,7890491,12601613622.467588
2018,3,DIS,birbhum,india,CON,TOTAL,6066238,6130627463.516831
2018,3,DIS,chennai,india,CON,TOTAL,5887343,10122319547.13798
2018,3,DIS,hyderabad,india,CON,TOTAL,5786941,9503554478.108147
2018,3,DIS,khordha,india,CON,TOTAL,5333443,4389717266.977921
2018,3,DIS,bankura,india,CON,TOTAL,5179457,2464193070.534754
2018,3,DIS,jaipur,india,CON,TOTAL,4954443,7882149494.55468
2018,3,DIS,north twenty four parganas,india,CON,TOTAL,4856114,4545902671.152222
2018,3,PIN,110006,india,CON,TOTAL,7198882,9029499185.157824
2018,3,PIN,560001,india,CON,TOTAL,5764203,10161197002.29537
2018,3,PIN,600003,india,CON,TOTAL,4430587,7070098756.153783
2018,3,PIN,400008,india,CON,TOTAL,3111609,5436005565.196791
2018,3,PIN,731101,india,CON,TOTAL,2644866,4429377129.783087
2018,3,PIN,700009,india,CON,TOTAL,2531420,3555553312.5767612
2018,3,PIN,500012,india,CON,TOTAL,1726388,3077635699.3374867
2018,3,PIN,411001,india,CON,TOTAL,1689517,2829639683.406771
2018,3,PIN,221001,india,CON,TOTAL,1439623,671779876.5266988
2018,3,PIN,201301,india,CON,TOTAL,1438458,2181626866.4046803
2018,4,STA,maharashtra,india,CON,TOTAL,46090223,79518937047.82959
2018,4,STA,karnataka,india,CON,TOTAL,44812071,73008386576.05942
2018,4,STA,west bengal,india,CON,TOTAL,36513548,40489619211.704025
2018,4,STA,uttar pradesh,india,CON,TOTAL,36100767,55096743575.91497
2018,4,STA,andhra pradesh,india,CON,TOTAL,30759548,51473779406.840416
2018,4,STA,delhi,india,CON,TOTAL,29187719,39722857618.706436
2018,4,STA,telangana,india,CON,TOTAL,28921154,49509088448.04927
2018,4,STA,tamil nadu,india,CON,TOTAL,22457444,43302073975.890976
2018,4,STA,madhya pradesh,india,CON,TOTAL,21397555,33905608072.96478
2018,4,STA,odisha,india,CON,TOTAL,21142798,23429869571.55922
2018,4,DIS,bengaluru urban,india,CON,TOTAL,33061353,50279165003.07312
2018,4,DIS,pune,india,CON,TOTAL,11075153,18048884123.019882
2018,4,DIS,central delhi,india,CON,TOTAL,9373395,13878492766.29038
2018,4,DIS,hyderabad,india,CON,TOTAL,9360515,14727846731.54825
2018,4,DIS,chennai,india,CON,TOTAL,8007699,14632395110.56675
2018,4,DIS,jaipur,india,CON,TOTAL,7271209,12107341570.49203
2018,4,DIS,gautam buddha nagar,india,CON,TOTAL,6083056,7483532543.63562
2018,4,DIS,mumbai,india,CON,TOTAL,6060284,11506143747.453331
2018,4,DIS,rangareddy,india,CON,TOTAL,5803319,9396311751.227482
2018,4,DIS,kolkata,india,CON,TOTAL,5401244,8502095208.8810005
2018,4,PIN,560001,india,CON,TOTAL,7725284,14030425393.29561
2018,4,PIN,110006,india,CON,TOTAL,7532374,11605568511.03916
2018,4,PIN,600003,india,CON,TOTAL,5539392,10066365923.24963
2018,4,PIN,400008,india,CON,TOTAL,4586309,8474903607.123857
2018,4,PIN,731101,india,CON,TOTAL,3284268,5847016363.011223
2018,4,PIN,700009,india,CON,TOTAL,2939284,4991163446.523161
2018,4,PIN,500012,india,CON,TOTAL,2576408,4841883809.168822
2018,4,PIN,201301,india,CON,TOTAL,2504916,3217987818.841588
2018,4,PIN,411001,india,CON,TOTAL,2176631,3917444399.4306116
2018,4,PIN,560068,india,CON,TOTAL,1630650,1941175277.1858852
2019,1,STA,karnataka,india,CON,TOTAL,86587609,117976382145.74959
2019,1,STA,maharashtra,india,CON,TOTAL,75079069,111420690920.3399
2019,1,STA,telangana,india,CON,TOTAL,65290702,95523262035.66321
2019,1,STA,uttar pradesh,india,CON,TOTAL,57324504,76524180134.0167
2019,1,STA,andhra pradesh,india,CON,TOTAL,57264522,83760595917.0792
2019,1,STA,west bengal,india,CON,TOTAL,47626388,50164672623.878494
2019,1,STA,delhi,india,CON,TOTAL,47007327,58469131789.49733
2019,1,STA,rajasthan,india,CON,TOTAL,43956040,61141158575.55251
2019,1,STA,madhya pradesh,india,CON,TOTAL,37301049,48070279522.042015
2019,1,STA,odisha,india,CON,TOTAL,34031942,35427127930.698456
2019,1,DIS,bengaluru urban,india,CON,TOTAL,65174133,82111161572.76288
2019,1,DIS,hyderabad,india,CON,TOTAL,24838664,34892156029.40753
2019,1,DIS,pune,india,CON,TOTAL,23360634,32233517413.82531
2019,1,DIS,jaipur,india,CON,TOTAL,19178441,25043540802.37277
2019,1,DIS,rangareddy,india,CON,TOTAL,12952050,17677048557.63253
2019,1,DIS,central delhi,india,CON,TOTAL,12885975,16258175800.839312
2019,1,DIS,chennai,india,CON,TOTAL,11642449,18810971714.513683
2019,1,DIS,gautam buddha nagar,india,CON,TOTAL,10750094,10286434896.546099
2019,1,DIS,medchal malkajgiri,india,CON,TOTAL,10127087,13392043971.075241
2019,1,DIS,new delhi,india,CON,TOTAL,10000765,13939472234.96883
2019,1,PIN,560001,india,CON,TOTAL,16241340,23597361226.512817
2019,1,PIN,110006,india,CON,TOTAL,10251048,13201959766.051062
2019,1,PIN,500012,india,CON,TOTAL,9957548,15399177052.93139
2019,1,PIN,600003,india,CON,TOTAL,8217185,12799152324.27052
2019,1,PIN,110011,india,CON,TOTAL,6689740,9632804730.117004
2019,1,PIN,400008,india,CON,TOTAL,6494529,10238553958.76301
2019,1,PIN,700009,india,CON,TOTAL,6353573,7885002278.52992
2019,1,PIN,411006,india,CON,TOTAL,5641935,9202990658.018358
2019,1,PIN,302001,india,CON,TOTAL,4954219,7600396570.221162
2019,1,PIN,201301,india,CON,TOTAL,4596696,4223121104.4130774
2019,2,STA,karnataka,india,CON,TOTAL,115401604,163702024226.0841
2019,2,STA,maharashtra,india,CON,TOTAL,101149853,153294470088.05942
2019,2,STA,telangana,india,CON,TOTAL,89610379,155676443182.4345
2019,2,STA,uttar pradesh,india,CON,TOTAL,58883500,98917519370.6783
2019,2,STA,delhi,india,CON,TOTAL,57171512,81706816063.62862
2019,2,STA,andhra pradesh,india,CON,TOTAL,56409015,113634518758.2293
2019,2,STA,rajasthan,india,CON,TOTAL,50009286,89107313172.66756
2019,2,STA,west bengal,india,CON,TOTAL,47023535,57105691119.11844
2019,2,STA,madhya pradesh,india,CON,TOTAL,40846013,68334566380.56182
2019,2,STA,tamil nadu,india,CON,TOTAL,32171737,64207676025.75552
2019,2,DIS,bengaluru urban,india,CON,TOTAL,89148659,113389910485.89919
2019,2,DIS,pune,india,CON,TOTAL,44795652,58398808592.1738
2019,2,DIS,hyderabad,india,CON,TOTAL,43511186,73949377453.0185
2019,2,DIS,jaipur,india,CON,TOTAL,27449382,46056907216.76753
2019,2,DIS,new delhi,india,CON,TOTAL,23313548,36146671717.91836
2019,2,DIS,rangareddy,india,CON,TOTAL,16348519,25359412038.382957
2019,2,DIS,patna,india,CON,TOTAL,13421445,26125484618.416542
2019,2,DIS,khordha,india,CON,TOTAL,13339889,19006076643.4939
2019,2,DIS,kolkata,india,CON,TOTAL,13259522,17260848900.773182
2019,2,DIS,lucknow,india,CON,TOTAL,12624404,22426462674.944283
2019,2,PIN,560001,india,CON,TOTAL,27169035,40026681539.0066
2019,2,PIN,500012,india,CON,TOTAL,23303184,42709920754.79193
2019,2,PIN,411006,india,CON,TOTAL,22544991,34073354893.75835
2019,2,PIN,110011,india,CON,TOTAL,20001452,31366326747.68567
2019,2,PIN,302001,india,CON,TOTAL,14130072,26047079270.71371
2019,2,PIN,700009,india,CON,TOTAL,9694969,12068405239.94683
2019,2,PIN,800015,india,CON,TOTAL,9362673,19331794343.88279
2019,2,PIN,226004,india,CON,TOTAL,8966947,16438621373.8186
2019,2,PIN,751002,india,CON,TOTAL,8318660,12733845249.98902
2019,2,PIN,600003,india,CON,TOTAL,6992850,13700604318.48539
2019,3,STA,karnataka,india,CON,TOTAL,170733735,214536720438.1829
2019,3,STA,maharashtra,india,CON,TOTAL,148735581,199617506744.9427
2019,3,STA,telangana,india,CON,TOTAL,121495376,201930021130.4236
2019,3,STA,andhra pradesh,india,CON,TOTAL,76288614,139447944254.7894
2019,3,STA,delhi,india,CON,TOTAL,69537876,103196812046.45709
2019,3,STA,uttar pradesh,india,CON,TOTAL,68623959,111268137475.0284
2019,3,STA,rajasthan,india,CON,TOTAL,67303617,112468290031.9234
2019,3,STA,west bengal,india,CON,TOTAL,66444829,70540532616.82985
2019,3,STA,madhya pradesh,india,CON,TOTAL,53610411,77676321491.22867
2019,3,STA,odisha,india,CON,TOTAL,41422272,57304577359.21709
2019,3,DIS,bengaluru urban,india,CON,TOTAL,131234422,150244275641.79712
2019,3,DIS,pune,india,CON,TOTAL,67093416,78128868958.39702
2019,3,DIS,hyderabad,india,CON,TOTAL,55159072,96365182751.25804
2019,3,DIS,jaipur,india,CON,TOTAL,36334520,58402103360.67966
2019,3,DIS,new delhi,india,CON,TOTAL,24687138,43288057341.92169
2019,3,DIS,rangareddy,india,CON,TOTAL,23655175,33663962263.15596
2019,3,DIS,khordha,india,CON,TOTAL,18364742,25509656902.493313
2019,3,DIS,medchal malkajgiri,india,CON,TOTAL,17492750,23256556346.30645
2019,3,DIS,visakhapatnam,india,CON,TOTAL,16694947,26944837120.04628
2019,3,DIS,kolkata,india,CON,TOTAL,16306691,21451201632.24875
2019,3,PIN,560001,india,CON,TOTAL,34182229,49823702321.098274
2019,3,PIN,500012,india,CON,TOTAL,27360144,55516914964.12051
2019,3,PIN,411006,india,CON,TOTAL,25995035,42031275308.282005
2019,3,PIN,110011,india,CON,TOTAL,20159577,36968948004.60185
2019,3,PIN,302001,india,CON,TOTAL,15037317,31903765546.790283
2019,3,PIN,700009,india,CON,TOTAL,11494363,14573984421.133251
2019,3,PIN,751002,india,CON,TOTAL,9990982,16300297217.1575
2019,3,PIN,800015,india,CON,TOTAL,8554034,21451659382.23745
2019,3,PIN,400008,india,CON,TOTAL,7234595,14467758895.1863
2019,3,PIN,226004,india,CON,TOTAL,6687157,17110382946.6282
2019,4,STA,karnataka,india,CON,TOTAL,237796252,295047143447.2384
2019,4,STA,maharashtra,india,CON,TOTAL,201260620,272994428799.5648
2019,4,STA,telangana,india,CON,TOTAL,163572258,280746765547.7425
2019,4,STA,andhra pradesh,india,CON,TOTAL,107218103,200948315488.8051
2019,4,STA,west bengal,india,CON,TOTAL,96805838,88203610254.64601
2019,4,STA,uttar pradesh,india,CON,TOTAL,86905005,145538926507.3059
2019,4,STA,rajasthan,india,CON,TOTAL,85074242,159452410049.6831
2019,4,STA,delhi,india,CON,TOTAL,80744997,129024467424.8906
2019,4,STA,madhya pradesh,india,CON,TOTAL,68131989,104687926790.86589
2019,4,STA,odisha,india,CON,TOTAL,64995633,79769373632.04843
2019,4,DIS,bengaluru urban,india,CON,TOTAL,180458808,199966708446.8142
2019,4,DIS,pune,india,CON,TOTAL,91666565,103270644868.1607
2019,4,DIS,hyderabad,india,CON,TOTAL,72987282,130230415629.3025
2019,4,DIS,jaipur,india,CON,TOTAL,44335592,81782144762.48987
2019,4,DIS,rangareddy,india,CON,TOTAL,31237803,44757331443.56837
2019,4,DIS,new delhi,india,CON,TOTAL,29048107,54398427887.76768
2019,4,DIS,khordha,india,CON,TOTAL,27477393,34227232121.52863
2019,4,DIS,visakhapatnam,india,CON,TOTAL,23594874,39133296330.044624
2019,4,DIS,medchal malkajgiri,india,CON,TOTAL,22999944,31417907129.79307
2019,4,DIS,kolkata,india,CON,TOTAL,21917627,26475748918.32508
