year,quarter,geo_type,geo_name,geo_parent,top_in,reg_users
2018,1,STA,maharashtra,india,CON,6106994
2018,1,STA,uttar pradesh,india,CON,4694250
2018,1,STA,karnataka,india,CON,3717763
2018,1,STA,andhra pradesh,india,CON,3336450
2018,1,STA,telangana,india,CON,3315560
2018,1,STA,rajasthan,india,CON,3158202
2018,1,STA,gujarat,india,CON,2690048
2018,1,STA,west bengal,india,CON,2604789
2018,1,STA,madhya pradesh,india,CON,2553603
2018,1,STA,bihar,india,CON,2133804
2018,1,DIS,bengaluru urban,,CON,1922368
2018,1,DIS,pune,,CON,1211643
2018,1,DIS,jaipur,,CON,900773
2018,1,DIS,mumbai suburban,,CON,719300
2018,1,DIS,hyderabad,,CON,655175
2018,1,DIS,rangareddy,,CON,635175
2018,1,DIS,thane,,CON,631864
2018,1,DIS,ahmadabad,,CON,572811
2018,1,DIS,medchal malkajgiri,,CON,549429
2018,1,DIS,visakhapatnam,,CON,497187
2018,1,PIN,201301,,CON,114625
2018,1,PIN,500072,,CON,105012
2018,1,PIN,560068,,CON,98487
2018,1,PIN,110059,,CON,95496
2018,1,PIN,110092,,CON,83600
2018,1,PIN,122001,,CON,82656
2018,1,PIN,560037,,CON,75304
2018,1,PIN,395006,,CON,72275
2018,1,PIN,800001,,CON,71092
2018,1,PIN,302012,,CON,68098
2018,2,STA,maharashtra,india,CON,8222371
2018,2,STA,uttar pradesh,india,CON,6442554
2018,2,STA,karnataka,india,CON,5030665
2018,2,STA,andhra pradesh,india,CON,4402540
2018,2,STA,telangana,india,CON,4260115
2018,2,STA,rajasthan,india,CON,4212964
2018,2,STA,west bengal,india,CON,3833795
2018,2,STA,gujarat,india,CON,3565825
2018,2,STA,madhya pradesh,india,CON,3441662
2018,2,STA,bihar,india,CON,3005872
2018,2,DIS,bengaluru urban,,CON,2553312
2018,2,DIS,pune,,CON,1592293
2018,2,DIS,jaipur,,CON,1182983
2018,2,DIS,mumbai suburban,,CON,957633
2018,2,DIS,thane,,CON,861292
2018,2,DIS,hyderabad,,CON,842483
2018,2,DIS,rangareddy,,CON,804959
2018,2,DIS,ahmadabad,,CON,751746
2018,2,DIS,medchal malkajgiri,,CON,696211
2018,2,DIS,surat,,CON,652372
2018,2,PIN,201301,,CON,151073
2018,2,PIN,500072,,CON,129543
2018,2,PIN,560068,,CON,128921
2018,2,PIN,110059,,CON,124901
2018,2,PIN,110092,,CON,108175
